Nquest,Weight,City,State,Region,Age Group,Education Level,Socioeconomic Class,Income Group,Internet Access,Ethnicity,Marital Status,Sexual Orientation,Religion,Gender,Children,P1 Count,P1 Count Label
197724527,0.179340164,Rio Branco,Acre,Norte,16 a 24,Secondary,D/E,"From R$ 2,825.00 to R$ 4,236.00",Always connected,Mixed,Single,Heterosexual,Undefined,Man,No children,5,Medium user (7-4)
197725405,0.187879639,Rio Branco,Acre,Norte,25 a 34,Secondary,B2,"From R$ 2,825.00 to R$ 4,236.00",Almost always connected,Mixed,Single,Heterosexual,Catholic,Man,No children,3,Low user (3-1)
197726250,0.322949947,Rio Branco,Acre,Norte,25 a 34,Higher Education,C1,"From R$ 4,237.00 to R$ 7,060.00",Always connected,Mixed,Single,Heterosexual,Evangelical,Man,No children,12,Heavy user (14-8)
197727775,0.029565734,Rio Branco,Acre,Norte,16 a 24,Secondary,D/E,"Up to R$ 1,412.00",Almost always connected,Indigenous,Single,Heterosexual,Evangelical,Woman,Children,3,Low user (3-1)
197728349,0.130540339,Rio Branco,Acre,Norte,25 a 34,Secondary,D/E,"Up to R$ 1,412.00",Almost always connected,Black,Married,Heterosexual,Evangelical,Woman,Children,9,Heavy user (14-8)
197728831,0.364255881,Rio Branco,Acre,Norte,35 a 44,Elementary,D/E,"Up to R$ 1,412.00",Always connected,Mixed,Married,Heterosexual,Catholic,Woman,Children,0,No user (0)
197729208,0.26966736,Rio Branco,Acre,Norte,16 a 24,Secondary,D/E,"From R$ 1,413.00 to R$ 2,824.00",Always connected,White,Single,Heterosexual,Undefined,Woman,No children,1,Low user (3-1)
197729674,0.196093789,Rio Branco,Acre,Norte,35 a 44,Secondary,B2,"From R$ 14,121.00 to R$ 28,240.00",Always connected,Mixed,Single,Heterosexual,Catholic,Man,Children,1,Low user (3-1)
197731590,0.307581816,Rio Branco,Acre,Norte,45 a 59,Elementary,C1,"From R$ 28,241.00 to R$ 70,060.00",Always connected,Mixed,Married,Heterosexual,Evangelical,Man,Children,1,Low user (3-1)
197739044,0.123836735,Rio Branco,Acre,Norte,16 a 24,Secondary,C2,"From R$ 2,825.00 to R$ 4,236.00",Always connected,Black,Single,Heterosexual,Atheist / No religion,Man,No children,1,Low user (3-1)
197740630,0.253865449,Rio Branco,Acre,Norte,60 +,Higher Education,C1,"From R$ 7,061.00 to R$ 14,120.00",Almost always connected,Mixed,Single,Heterosexual,Undefined,Man,Children,3,Low user (3-1)
197743385,0.26966736,Rio Branco,Acre,Norte,16 a 24,Secondary,C1,"From R$ 1,413.00 to R$ 2,824.00",Always connected,White,Single,Heterosexual,Evangelical,Woman,No children,4,Medium user (7-4)
197773727,0.309495077,Rio Branco,Acre,Norte,45 a 59,Elementary,D/E,"Up to R$ 1,412.00",Always connected,Mixed,Single,Heterosexual,Catholic,Woman,Children,5,Medium user (7-4)
197775762,0.348997609,Rio Branco,Acre,Norte,25 a 34,Elementary,D/E,"Up to R$ 1,412.00",Almost always connected,Mixed,Single,Heterosexual,Evangelical,Woman,Children,3,Low user (3-1)
197778002,0.166613816,Rio Branco,Acre,Norte,45 a 59,Secondary,C2,"Up to R$ 1,412.00",Sometimes connected,Mixed,Single,Heterosexual,Evangelical,Man,Children,3,Low user (3-1)
