City,State,Region,n_weighted,No user (0),Low user (3-1),Medium user (7-4),Heavy user (14-8),Class A,Class B,Class C,Class D/E,Elementary,Secondary,Higher Education,Country Code,Urban Area Name,Latitude,Longitude,ISO3 Country Code
Aracaju,Sergipe,Nordeste,250.73105015599947,0.16008701142928453,0.3616061514941594,0.35534132288189657,0.12296551419466176,0.033973936,0.2270808180142648,0.4537039427116124,0.28524130365386563,0.2911282853782339,0.3845437412638416,0.3243279733579268,76,Aracaju,-10.91111,-37.07167,BRA
Belo Horizonte,Minas Gerais,Sudeste,1004.0552008020022,0.097375325,0.31908264014975957,0.3832414929773176,0.200300542,0.042343813,0.3894482685510333,0.4261598860254084,0.14204803227459725,0.25405192844302776,0.35272940071831693,0.39321867083865303,76,Belém,-1.456142,-48.478988,BRA
Bel√©m,Par√°,Norte,546.0586092200002,0.11958403627639076,0.3189308365648992,0.31490780228816073,0.24657732487054884,0.029045174717884644,0.1759699933039359,0.47165425953432055,0.3233305724438586,0.25928463429089027,0.42536828951161015,0.3153470761974995,76,Belo Horizonte,-19.92083,-43.93778,BRA
Boa Vista,Roraima,Norte,154.96653103199984,0.19828089272163593,0.4319465417482815,0.27506312019205015,0.094709445,0.039017598527461665,0.25284655631807995,0.41682918077105047,0.2913066643834098,0.23594538499058101,0.47846468707936207,0.2855899279300586,76,Boa Vista,2.81972,-60.67333,BRA
Bras√≠lia,Distrito Federal,Centro-Oeste,1166.2172331960012,0.13256142815719976,0.3468626726938569,0.3278410691035834,0.19273483,0.078425492,0.36852717157864906,0.4529623682522096,0.10008496773635246,0.21723035397936244,0.35713981259527533,0.42562983342536137,76,Brasília,-15.77972,-47.92972,BRA
Campo Grande,Mato Grosso do Sul,Centro-Oeste,364.5915729170002,0.24375901300174033,0.3806879335238972,0.3109252002344188,0.064627853,0.059054998,0.2428573765778101,0.5187310460630273,0.17935657935211397,0.280550813,0.37866699045846935,0.3407821965218183,76,Campo Grande,-20.456697,-54.618515,BRA
Cuiab√°,Mato Grosso,Centro-Oeste,263.7960527609998,0.12505292900605933,0.3973215667216972,0.31906643152942443,0.15855907274281936,0.048726625032731896,0.25879718704454074,0.5359817796367858,0.15649440828594274,0.2638191750619284,0.4200561779875969,0.31612464695047504,76,Cuiabá,-15.59611,-56.09667,BRA
Curitiba,Paran√°,Sul,762.0796524129995,0.10190573948287622,0.2961648557068208,0.345887108,0.256042297,0.04681,0.3368143504950793,0.5112171672231813,0.10515848268255507,0.204755331,0.376428415,0.41881625366770586,76,Curitiba,-25.42778,-49.27306,BRA
Florian√≥polis,Santa Catarina,Sul,233.29804667200008,0.058968433,0.2658581107204958,0.39537247916474033,0.2798009772571078,0.073148534,0.36506040174326815,0.4722188901302194,0.089572175,0.18018260996886915,0.32330025715578464,0.4965171328753464,76,Florianópolis,-27.59667,-48.54917,BRA
Fortaleza,Cear√°,Nordeste,1012.5767025260001,0.14642661150422123,0.39767358096673217,0.29707899490831496,0.15882081262073153,0.030054739,0.1772765873016824,0.5417980695708466,0.2508706039881232,0.28661674820387023,0.43282742752591297,0.2805558242702168,76,Fortaleza,-3.74117,-38.543575,BRA
Goi√¢nia,Goi√°s,Centro-Oeste,603.4081207,0.093106833,0.36554652671932075,0.37146209758194343,0.1698845424643261,0.095000623,0.35386056971068214,0.4397639227581526,0.11137488448381638,0.23132694817780997,0.3895822293587078,0.37909082246348247,76,Goiania,-16.67861,-49.25389,BRA
Jo√£o Pessoa,Para√≠ba,Nordeste,343.7655687780003,0.099976683,0.4019862607538827,0.3364695088288384,0.16156754783335492,0.041661698,0.32551972765272885,0.44735073560060856,0.18546783840988396,0.26086180374251267,0.3756449034265937,0.36349329283089304,76,Joao Pessoa,-7.115,-34.86306,BRA
Macap√°,Amap√°,Norte,335.12706704400046,0.13988715810246652,0.33081011231314245,0.3340512530409893,0.19525147654339958,0.017232453,0.16938162054378958,0.45705820087008675,0.3563277259318515,0.287681082,0.3913690387735207,0.3209498790555108,76,Macapá,0.03889,-51.06639,BRA
Macei√≥,Alagoas,Nordeste,390.46807807199946,0.18061774554332607,0.4140480332176827,0.2919179189444062,0.11341630229458625,0.019091421620963927,0.2002463694396609,0.35386853326463646,0.4267936756747399,0.33612462611809024,0.4538106101142686,0.21006476376764266,76,Maceió,-9.66583,-35.73528,BRA
Manaus,Amazonas,Norte,803.2246606450012,0.10088098787695539,0.35199830511548375,0.34004074968723375,0.20707995732032577,0.024094145023459867,0.21422947508212925,0.554243972,0.20743240824828005,0.23351472049972033,0.4903296720194537,0.27615560748082546,76,Manaus,-3.10194,-60.025,BRA
Natal,Rio Grande do Norte,Nordeste,315.1395630000002,0.1593735494391098,0.3529375319435849,0.28814541550278133,0.19954350311452307,0.011542481240287809,0.2687450165087649,0.4359960966278289,0.2837164056231174,0.29948940558440734,0.3823596248973662,0.3181509695182255,76,Natal,-5.795,-35.20944,BRA
Palmas,Tocantins,Norte,119.4180238509999,0.15456281422836024,0.3407577920965509,0.3604969899829701,0.14418240369211932,0.040785891,0.2818882200563072,0.5122927369852618,0.16503315207752856,0.18406827916049076,0.39682759215750685,0.41910412868200314,76,Palmas,-10.1677,-48.334,BRA
Porto Alegre,Rio Grande do Sul,Sul,574.4116148950017,0.086109359,0.2727843787362166,0.3737608393055287,0.26734542293520797,0.04125649,0.38248156811933526,0.4796692047380767,0.096592738,0.24078332577463954,0.31557963751156953,0.4436370367137879,76,Porto Alegre,-30.03306,-51.23,BRA
Porto Velho,Rond√¥nia,Norte,181.60353629599953,0.14170724465439227,0.41744627080078495,0.3346628272091576,0.10618365733566827,0.015436071946478674,0.2093033307349606,0.45491639486769087,0.3203442024508725,0.33967012935506846,0.4566415414170915,0.20368832922784255,76,Porto Velho,-8.76194,-63.90389,BRA
Recife,Pernambuco,Nordeste,627.4516254909994,0.11924494170598537,0.35796871617033044,0.3730751832921305,0.1497111588315544,0.039993995,0.19116814424241327,0.4191752262274964,0.3496626343653437,0.28160443547617303,0.43506872819140663,0.28332683633242106,76,Recife,-8.05389,-34.88111,BRA
